                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     71,                0.82139,                0.69233,                 1.0289,                0.89691,                0.79293,                 0.8073,                0.60353,                 1.1236,                   3.31,                 1.3385,              0.0006338,              0.0006338,              0.0006338
                     72,                0.91545,                0.79904,                 1.0999,                0.78198,                0.65356,                0.67512,                0.49788,                 1.1583,                 3.4199,                 1.3482,               0.000614,               0.000614,               0.000614
                     73,                0.91877,                0.69541,                 1.1248,                0.78198,                0.65356,                0.67512,                0.49788,                 1.1583,                 3.4199,                 1.3482,              0.0005942,              0.0005942,              0.0005942
                     74,                0.81067,                0.69745,                  1.059,                0.62216,                0.72727,                0.64423,                0.47274,                  1.168,                   2.59,                 1.3173,              0.0005744,              0.0005744,              0.0005744
                     75,                0.88591,                0.81997,                 1.0979,                0.62216,                0.72727,                0.64423,                0.47274,                  1.168,                   2.59,                 1.3173,              0.0005546,              0.0005546,              0.0005546
                     76,                0.94065,                0.79107,                 1.1733,                0.87986,                0.72727,                0.75992,                0.57647,                  1.151,                 1.5437,                 1.2687,              0.0005348,              0.0005348,              0.0005348
                     77,                0.81713,                0.73581,                 1.0773,                0.87986,                0.72727,                0.75992,                0.57647,                  1.151,                 1.5437,                 1.2687,               0.000515,               0.000515,               0.000515
                     78,                0.79866,                0.75073,                 1.0861,                0.87284,                0.72727,                 0.7319,                0.57535,                 1.1004,                 1.5351,                 1.3125,              0.0004952,              0.0004952,              0.0004952
                     79,                0.88019,                0.71141,                 1.1679,                0.87284,                0.72727,                 0.7319,                0.57535,                 1.1004,                 1.5351,                 1.3125,              0.0004754,              0.0004754,              0.0004754
                     80,                0.76687,                 0.7198,                 1.0308,                0.88652,                0.72727,                0.80481,                0.63133,                 1.0877,                 1.3056,                 1.2751,              0.0004556,              0.0004556,              0.0004556
                     81,                0.83309,                0.69748,                 1.0961,                0.88652,                0.72727,                0.80481,                0.63133,                 1.0877,                 1.3056,                 1.2751,              0.0004358,              0.0004358,              0.0004358
                     82,                0.81738,                0.66579,                 1.0554,                      1,                0.80406,                0.84071,                0.60063,                 1.1214,                 1.0556,                 1.3155,               0.000416,               0.000416,               0.000416
                     83,                0.85653,                0.68574,                 1.0716,                      1,                0.80406,                0.84071,                0.60063,                 1.1214,                 1.0556,                 1.3155,              0.0003962,              0.0003962,              0.0003962
                     84,                0.73106,                 0.6028,                0.99703,                0.81709,                0.81274,                0.76041,                0.53359,                 1.0726,                0.97566,                 1.2313,              0.0003764,              0.0003764,              0.0003764
                     85,                0.88202,                0.69399,                 1.0949,                0.81709,                0.81274,                0.76041,                0.53359,                 1.0726,                0.97566,                 1.2313,              0.0003566,              0.0003566,              0.0003566
                     86,                0.87181,                 0.6727,                 1.1003,                      1,                0.81504,                0.86034,                0.58153,                 1.0066,                 1.0092,                 1.1801,              0.0003368,              0.0003368,              0.0003368
                     87,                0.71137,                0.59452,                 1.0004,                      1,                0.81504,                0.86034,                0.58153,                 1.0066,                 1.0092,                 1.1801,               0.000317,               0.000317,               0.000317
                     88,                0.89808,                0.87013,                 1.1842,                0.89906,                0.81047,                0.86463,                0.65129,                0.93011,                0.86668,                 1.1292,              0.0002972,              0.0002972,              0.0002972
